BUKU INVENTARISASI PERPUSTAKAAN SEKOLAH;;;;;;;;;;;;;
;;;;;;;;;;;;;
Nomor;;Judul Buku;Penyusun/;Penerbit;Tahun Terbit;Jenis Buku;;;Sumber Buku;;;Tanggal Beli/;
Urut;Anggota;;Pengarang;;;Fiksi;Non Fiksi;Banyak Buku;BOS;DAK;Lainnya;Terima;Keterangan 
57;;Informatika kelas X;;;;;ü;90;ü;;;;
58;;Informatika Bisnis kelas X;;;;;ü;93;ü;;;;
59;;IPAS Teknologi kelas x  ;;;;;ü;95;ü;;;;
60;;IPAS Bismen ;;;;;ü;95;ü;;;;
61;;Prosedur Penggunaan Kendaraan Ringan kelas XII;;;;;ü;8;ü;;;;
62;;PKK Teknologi manufaktur dan rekayasa kelas XI;;;;;ü;14;ü;;;;
63;;Prosedur penggunaan kendaraan ringan kelas XI ;;;;;ü;14;ü;;;;
64;;Sistem pemindah tenaga kendaraan ringan kelas XI ;;;;;ü;16;ü;;;;
65;;Keamanan Jaringan vol 1;;;;;ü;16;ü;;;;
66;;PKWU BISMEN kelas XII;;;;;ü;7;ü;;;;
67;;Sistem pemindah tenaga kendaraan ringan kelas XI ;;;;;ü;9;ü;;;;
68;;Pengelolaan kearsipan KK Manajemen Perkantoran  kelas XI;;;;;ü;19;ü;;;;
69;;Keamanan jaringan vol 2 kelas XI;;;;;ü;15;ü;;;;
70;;Teknologi perkantoran KK Manajemenn perkantoran kelas XI ;;;;;ü;19;ü;;;;
71;;Pemeilharaan sasis sepeda motor kelas XII ;;;;;ü;7;ü;;;;
72;;Pengelolaan keuangan sederhana kelas XI;;;;;ü;16;ü;;;;
73;;SPLASH (B.Inggris) kelas X ;;;;;ü;20;ü;;;;
74;;SPLASH (B.Inggris) kelas XI;;;;;ü;30;ü;;;;
75;;PKWU Kelas XI Kumer;;;;;ü;20;ü;;;;
76;;Pendidikan Agama Islam kelas XI KUMER;;;;;ü;19;ü;;;;
77;;Pendidikan Pancasila kelas XI KUMER;;;;;ü;19;ü;;;;
78;;Pendidikan Agama Islam kelas XII Kumer;;;;;ü;19;ü;;;;
79;;Pendidikan pancasila kelas 12 kumer;;;;;ü;21;ü;;;;
80;;PKWU BISMEN KELAS 12 Kumer;;;;;ü;11;ü;;;;
81;;Matematika bismen kelas XII Kumer;;;;;ü;18;ü;;;;
82;;Koding dan KA Kelas X ;Sri Wahyudi;Erlangga;;;ü;13;ü;;;;
83;;Koding dan KA Kelas XI;Sri Wahyudi;Erlangga;;;ü;16;ü;;;;
84;;Koding dan KA Kelas XII;Sri Wahyudi;Erlangga;;;ü;16;ü;;;;
85;;B. Indonesia kelas XI Kumer;Pipit Dwi Komariah;Erlangga;;;ü;19;ü;;;;
86;;B. Indonesia kelas XII Kumer;Pipit Dwi Komariah;Erlangga;;;ü;19;ü;;;;
87;;Perencanaan dan Pengalamatan Jaringan kelas XI Kumer ;Andi Novianto;Erlangga;;;ü;10;ü;;;;
88;;Perencanaan dan Pengalamatan Jaringan kelas XII Kumer;Andi Novianto;Erlangga;;;ü;14;ü;;;;
89;;Kelistrikan Mobil;Drs Boantatro;;;;ü;1;ü;;;;
90;;Casis Mobil;Drs Boantatro;;;;ü;2;ü;;;;
91;;Peralatan Bengkel Oromotif;Zooy D mora;;;;ü;1;ü;;;;
92;;IPAS;Dwi Harti, dkk;Erlangga;;;ü;702;ü;;;;
93;;Pendidikan Pncasila ;Yusuf Kardiman ;Erlangga;;;ü;64;ü;;;;
94;;Pendidikan Agama Islam;H.A Sholeh Dimyathi, dkk;Erlangga;;;ü;67;ü;;;;
95;;PJOK;Agung Rahayu, dkk;Erlangga;;;ü;47;ü;;;;
96;;Sejarah;Ratna Hapsari;Erlangga;;;ü;71;ü;;;;
97;;IPAS;Berti Sagendra ;Erlangga;;;ü;75;ü;;;;
98;;Informatika;Andi Novianto;Erlangga;;;ü;77;ü;;;;
99;;Pengantar Ekonomi dan Bisnis;Alam S;Erlangga;;;ü;30;ü;;;;
100;;Dasar-Dasar Pemasaran;Widaningsih;Erlangga;;;ü;19;ü;;;;
101;;Perencanaan Bisnis Ritel;Anis Muftias;Bumi Aksara;;;ü;10;ü;;;;
102;;Pengantar Akuntansi;Dwi Harti, dkk;;;;ü;8;ü;;;;
103;;Kewirausahaan;;Erlangga;;;ü;2;ü;;;;
104;;Desain Keamanan Jaringan;;Erlangga;;;ü;8;ü;;;;
105;;Marketing ;;Erlangga;;;ü;42;ü;;;;
106;;Dasar-Dasar MPLB ;Sri Endang;Erlangga;;;ü;20;ü;;;;
107;;PKWU;Indah Setyowati;;;;ü;140;ü;;;;
108;;Komputer Akuntansi Pada Perusahaan Dagang;Bimo Susiono;Erlangga;;;ü;22;ü;;;;
109;;Akuntansi Lembaga Instansi Pemerintah;Dwi Harti, dkk;Erlangga;;;ü;15;ü;;;;
110;;Akuntansi Perusahaan Jasa;Dwi Harti, dkk;Erlangga;;;ü;20;ü;;;;
111;;;;;;;;;ü;;;;
112;;;;;;;;;ü;;;;
113;;;;;;;;;ü;;;;
114;;;;;;;;;ü;;;;
115;;;;;;;;;ü;;;;
116;;;;;;;;;ü;;;;
117;;;;;;;;;ü;;;;
